time_sec,healthy_accel_g,outer_race_defect_g,inner_race_defect_g
0.2850,0.1389,1.5056,2.3408
0.2860,0.0060,0.6027,1.3260
0.2870,-0.2361,0.6777,1.4162
0.2880,-0.9617,3.7994,2.6334
0.2890,-0.9768,2.6670,1.8766
0.2900,-0.1207,2.5954,2.3377
0.2910,-1.0577,0.8086,0.9882
0.2920,-0.6893,1.7122,0.7410
0.2930,-0.8105,0.2092,1.1083
0.2940,-0.3777,1.0411,6.1953
0.2950,-1.0361,0.1744,4.5035
0.2960,-0.1947,0.7729,4.0176
0.2970,-0.4459,4.1043,2.7254
0.2980,-0.2812,2.9689,2.2278
0.2990,-0.3144,2.8964,2.0794
0.3000,-0.0806,2.7130,9.3194
0.3010,0.6367,2.5495,8.7403
0.3020,0.5010,2.0528,5.9602
0.3030,0.2337,1.5198,5.1069
0.3040,0.9171,2.3782,5.1110
0.3050,0.8669,1.3702,3.7940
0.3060,0.7594,5.1842,9.2127
0.3070,0.5985,3.9108,7.0296
0.3080,0.6107,3.8889,5.8913
0.3090,0.2917,3.0555,4.6887
0.3100,0.9345,2.8295,4.8262
0.3110,0.7773,1.9315,3.6597
0.3120,0.1853,1.1819,5.7327
0.3130,0.5792,1.1202,4.2774
0.3140,-0.2474,0.7381,3.1055
0.3150,0.0481,4.1320,3.5384
0.3160,-0.3273,2.8948,1.9444
0.3170,0.0192,2.7818,2.1084
0.3180,-0.0130,2.6090,3.3431
0.3190,0.1492,2.0189,3.3759
0.3200,-0.0653,0.9303,1.7712
0.3210,0.1117,1.7026,2.1778
0.3220,-0.5775,-0.2059,0.7598
0.3230,-0.2504,0.5502,0.8652
0.3240,-0.9858,3.6010,3.7944
0.3250,-0.2023,3.5283,3.4987
0.3260,-0.5933,2.0488,2.6321
0.3270,-0.7535,1.3194,1.8627
0.3280,-0.4502,1.6227,2.1448
0.3290,-0.8833,0.3327,0.9453
0.3300,-0.2985,1.3143,8.4016
0.3310,-0.5851,0.3267,6.2242
0.3320,-0.0537,0.2462,5.0998
0.3330,-0.2140,4.5255,3.7367
0.3340,-0.3159,3.3648,3.4789
0.3350,0.4102,3.1743,3.2948
0.3360,0.3014,2.7212,8.6735
0.3370,0.3494,2.1412,7.7072
0.3380,0.7201,2.3166,6.7964
0.3390,0.8332,2.6065,6.1309
0.3400,0.6356,1.1046,4.7948
0.3410,0.6652,1.5363,4.0857
0.3420,0.7331,5.7757,8.3067
0.3430,0.5891,4.1891,5.9328
0.3440,0.5530,3.5628,5.1096
0.3450,0.8559,3.6812,4.1338
0.3460,0.2850,2.5024,2.7594
0.3470,-0.0039,1.7159,2.5469
0.3480,0.4057,1.7552,4.2544
0.3490,0.1741,1.1657,3.6080
0.3500,-0.0088,1.1114,2.8029
0.3510,-0.0662,4.5057,2.0689
0.3520,0.0852,3.8669,1.5657
0.3530,-0.1408,2.7887,2.2664
0.3540,-0.1781,2.0058,3.5723
0.3550,-0.4488,1.5529,2.5034
0.3560,-0.3513,1.4379,1.1044
0.3570,-0.3038,1.1306,1.4326
0.3580,-0.4040,0.1758,1.0120
0.3590,-0.5570,0.4472,0.7657
0.3600,-1.0754,3.1522,4.8022
0.3610,-0.7084,3.4524,4.8981
0.3620,-0.7602,1.8902,3.0476
0.3630,-0.3074,2.2661,2.9454
0.3640,-0.6072,1.1156,2.2616
0.3650,-0.1349,1.4676,2.2567
0.3660,-0.4088,0.9846,9.2522
0.3670,0.1158,1.1045,7.5846
0.3680,0.4264,1.2816,6.1049
0.3690,0.5293,4.9139,5.2082
0.3700,0.8212,5.0281,4.5149
0.3710,0.4476,3.9366,3.3447
0.3720,0.4999,2.6823,9.3156
0.3730,0.6108,2.4786,7.1774
0.3740,0.6391,2.0695,5.7037
0.3750,0.6756,1.7705,5.1565
0.3760,0.5472,1.9392,3.7473
0.3770,0.5044,1.3548,3.8403
0.3780,0.6702,5.1180,5.5889
0.3790,0.0202,3.6059,4.3666
0.3800,0.3818,3.6097,4.0502
0.3810,0.0033,2.2272,3.4311
0.3820,0.3155,1.9854,2.0517
0.3830,0.0436,1.2379,1.8701
0.3840,0.1246,1.0733,3.4537
0.3850,-0.0889,0.9427,2.2252
0.3860,-0.3319,0.3301,1.4790
0.3870,-0.4275,4.1486,1.6679
0.3880,-0.3060,3.0692,0.7822
0.3890,-0.4560,2.4133,0.7989
0.3900,-0.1338,2.4706,4.4307
0.3910,-0.3436,1.1991,3.7213
0.3920,-0.9932,0.6444,1.6979
0.3930,-0.7333,0.3564,1.7662
0.3940,-0.6471,0.6972,1.9416
0.3950,-0.6212,0.2965,1.0776
0.3960,-1.0204,2.7389,6.4616
0.3970,-0.8664,2.9135,5.4352
0.3980,-0.1904,2.7959,4.7158
0.3990,-0.1711,2.6647,4.1160
0.4000,0.2426,2.2356,3.3743
0.4010,0.2249,1.7620,3.1536
0.4020,0.2956,1.9517,9.4963
0.4030,0.4330,1.2955,7.6525
0.4040,0.4153,1.2821,6.5576
0.4050,0.9643,5.3997,5.9923
0.4060,1.0670,4.6025,4.9370
0.4070,0.5468,3.5584,4.0217
0.4080,0.0487,2.4314,7.2013
0.4090,0.3088,2.2952,5.5928
0.4100,1.0275,2.7755,5.5349
0.4110,0.5679,2.3932,3.8948
0.4120,0.2776,1.1673,3.1877
0.4130,-0.0275,0.6643,2.2644
0.4140,0.6055,4.6521,5.0705
0.4150,-0.0929,3.8752,2.9551
0.4160,-0.0824,3.0240,3.2383
0.4170,-0.3434,1.8390,1.6343
0.4180,0.2171,2.5020,1.4623
0.4190,0.3499,1.3648,1.6441
0.4200,-0.2797,0.7687,3.3925
0.4210,0.0376,0.9466,2.8052
0.4220,-0.1723,1.0806,2.2239
0.4230,-0.4130,4.3647,1.8364
0.4240,-0.5262,2.9514,0.7508
0.4250,-0.0440,2.9005,1.0608
0.4260,-0.6064,1.6570,5.4539
0.4270,-0.3447,1.8204,4.6896
0.4280,-0.8331,0.6986,3.0586
0.4290,-0.7981,0.4522,2.8754
0.4300,-0.5346,0.0411,2.2781
0.4310,-0.3676,0.5275,1.7236
0.4320,-0.4138,4.0937,8.1518
0.4330,-0.0495,3.1866,6.4908
0.4340,0.2528,2.8709,5.7237
0.4350,0.3963,2.8204,5.1055
0.4360,0.5696,2.6531,4.2439
0.4370,0.4210,2.1750,3.0973
0.4380,1.4786,3.1243,10.3795
0.4390,0.5495,1.4337,7.6973
0.4400,0.8239,1.2703,6.0235
0.4410,0.7447,5.0033,5.3064
0.4420,0.3308,4.1892,3.6462
0.4430,0.4986,3.3156,3.7678
0.4440,-0.2249,2.7612,5.2193
0.4450,0.2889,1.9093,5.8446
0.4460,0.3153,1.9708,4.2812
0.4470,0.4314,1.6030,4.1621
0.4480,0.3497,1.7643,2.8629
0.4490,0.1672,0.4622,2.1780
0.4500,-0.3424,4.3292,3.3631
0.4510,-0.0981,3.7905,2.7715
0.4520,-0.3733,2.3978,1.8446
0.4530,0.1530,2.7703,2.7031
0.4540,-0.1312,1.8421,0.9515
0.4550,-0.5375,1.1129,0.4440
0.4560,-0.0093,1.2101,4.5164
0.4570,-0.5429,0.4440,3.2006
0.4580,-0.9561,0.0369,1.9561
0.4590,-0.2657,4.4128,2.5586
0.4600,-0.6153,3.1609,1.2633
0.4610,-0.2995,2.8988,1.0945
0.4620,-1.2166,0.9910,6.3192
0.4630,-0.9723,0.8494,4.8257
0.4640,-0.8469,1.0983,4.4204
0.4650,-0.4178,1.0495,3.5092
0.4660,-0.0167,0.2868,3.1520
0.4670,-0.2981,0.1739,2.6557
0.4680,0.3642,4.4352,9.7160
0.4690,0.4644,4.3006,8.6453
0.4700,0.6604,3.4459,6.6426
0.4710,0.5370,3.0346,5.8832
0.4720,0.8668,2.8055,5.2255
0.4730,0.4882,1.9421,2.9439
0.4740,1.0751,2.5015,8.6576
0.4750,0.8942,1.7061,6.8059
0.4760,0.2640,1.3556,5.3806
0.4770,0.1607,4.7342,4.0784
0.4780,0.3559,4.0498,3.8175
0.4790,0.1818,3.4805,1.8344
0.4800,0.5450,2.5794,4.9930
0.4810,-0.2250,1.7884,3.5146
0.4820,-0.0016,0.9100,2.7200
0.4830,0.3146,1.9595,2.3897
0.4840,0.0142,1.1007,2.2134
0.4850,-0.2594,0.7942,0.7352
0.4860,-0.3167,4.1370,3.0741
0.4870,-0.1003,3.8145,2.0672
0.4880,-0.2440,2.7754,1.7412
0.4890,-0.4122,2.1483,1.3041
0.4900,-0.3265,1.8360,1.0625
0.4910,-0.2673,1.2211,0.7483
0.4920,-0.9472,-0.1870,4.8884
0.4930,-0.3968,0.5707,4.4427
0.4940,-0.7253,-0.3136,3.1562
0.4950,-0.9604,3.4904,1.6383
0.4960,-0.3343,3.9026,1.8006
0.4970,-0.7550,2.0672,1.1113
0.4980,-0.5225,1.6006,8.4004
0.4990,0.1638,2.1603,6.9029
0.5000,-0.1005,1.7933,5.7945
0.5010,0.5142,1.9804,5.2467
0.5020,0.4341,1.6490,4.2052
0.5030,0.6325,1.5620,3.7466
0.5040,0.8198,4.8671,9.7306
0.5050,0.4547,3.9123,7.5814
0.5060,0.9610,4.2973,6.9009
0.5070,0.8363,3.1777,5.6995
0.5080,0.7208,2.3773,4.6322
0.5090,1.0626,2.1467,3.9134
0.5100,0.9111,1.8510,7.3437
0.5110,0.9369,1.6156,5.9730
0.5120,0.0094,0.7720,4.2647
0.5130,-0.2076,4.3117,3.3091
0.5140,-0.0372,3.6998,2.8165
0.5150,0.4192,3.2977,2.7666
0.5160,-0.0567,2.0528,4.0897
0.5170,-0.0489,2.2300,2.3823
0.5180,-0.0920,1.8470,2.7397
0.5190,-0.2112,1.0830,1.4904
0.5200,0.0422,0.8635,1.4060
0.5210,-0.3443,0.4333,0.5873
0.5220,-0.0298,4.4472,4.2176
0.5230,-0.2171,3.7098,3.1583
0.5240,-0.4517,2.4724,1.8664
0.5250,-0.8362,1.4149,0.8247
0.5260,-0.8129,1.1668,1.3778
0.5270,-0.6504,1.3964,1.1693
0.5280,-0.0810,1.7880,6.9014
0.5290,-0.7849,0.4811,5.0075
0.5300,-0.7694,-0.1564,4.1009
0.5310,-0.3422,4.2241,4.0227
0.5320,-0.2933,2.7494,2.1548
0.5330,0.1114,3.0718,2.8594
0.5340,0.4832,2.8575,9.6563
0.5350,0.0501,1.6376,7.5921
0.5360,0.5989,2.1235,6.4783
0.5370,0.7814,2.2712,4.9555
0.5380,0.8823,1.2915,5.8590
0.5390,0.7865,1.2054,3.9946
0.5400,0.5734,4.7483,8.4971
0.5410,0.8362,4.3716,7.2620
0.5420,0.5962,2.8946,6.0967
0.5430,0.7225,3.7012,4.8901
0.5440,0.1399,2.1353,3.6815
0.5450,0.3105,1.5527,3.3429
0.5460,-0.1151,1.2292,4.8725
0.5470,-0.0525,0.8994,3.6093
0.5480,0.6502,1.4729,3.9854
0.5490,0.5312,5.1773,2.8043
0.5500,0.1242,3.6898,1.9999
0.5510,-0.2673,2.7529,2.1216
0.5520,-0.1767,1.9736,3.2627
0.5530,0.3548,2.7965,2.3860
0.5540,0.2368,2.1973,2.6096
0.5550,-0.3182,0.7009,1.7711
0.5560,-0.0985,1.0886,1.7377
0.5570,-0.4119,0.2992,0.8920
0.5580,-0.7000,3.5647,4.3726
0.5590,-0.5099,3.3170,3.1435
0.5600,-0.3157,3.0705,2.9759
0.5610,-0.4703,1.9070,2.2884
0.5620,-0.2875,1.6592,1.6713
0.5630,-0.3661,1.4406,1.4284
0.5640,-0.3443,0.8797,7.7433
0.5650,0.1182,0.6820,6.8406
0.5660,0.3674,0.5291,5.6230
0.5670,0.1045,4.7671,3.9702
0.5680,0.2523,3.9699,3.9293
0.5690,0.1985,3.2179,3.4533
0.5700,0.3776,3.1061,9.4266
0.5710,0.5484,2.5032,7.9973
0.5720,0.7568,2.0869,6.7339
0.5730,1.1724,2.1341,6.0324
0.5740,0.7990,2.3031,5.1588
0.5750,0.5835,1.6696,3.7611
0.5760,0.5564,5.0506,7.4669
0.5770,-0.1277,3.5434,4.7970
0.5780,0.4679,3.4670,4.6205
0.5790,-0.0182,2.7788,3.4585
0.5800,-0.2920,1.2541,1.7814
0.5810,0.0736,1.3216,2.0575
0.5820,0.3918,1.6880,4.4028
0.5830,0.0383,1.1056,2.9709
0.5840,0.1012,0.7687,2.7751
0.5850,0.1557,4.5124,2.4053
0.5860,-0.1696,3.6272,1.2457
0.5870,0.1668,3.0729,1.0906
0.5880,-0.4149,1.8597,2.7647
0.5890,0.0065,1.8679,2.6252
0.5900,-0.6852,0.6150,1.8299
0.5910,-0.4341,1.0806,2.3060
0.5920,-0.5492,0.7569,1.1477
0.5930,-0.6557,0.2636,0.8768
0.5940,-0.5178,3.9986,6.3093
0.5950,-0.7966,3.1514,4.9741
0.5960,-0.1600,2.9607,5.0293
0.5970,-0.7772,1.7543,3.2099
0.5980,0.3140,1.9386,2.9262
0.5990,-0.3545,1.6708,2.0763
0.6000,0.0711,1.2480,9.8640
0.6010,-0.1354,0.7009,7.0274
0.6020,0.4253,1.7045,6.9166
0.6030,0.4603,4.7581,5.8651
0.6040,0.8031,3.9929,4.8911
0.6050,0.6375,3.6246,3.6628
0.6060,0.7750,3.2891,9.2287
0.6070,0.6270,2.5821,6.9971
0.6080,0.6648,2.8192,5.9833
0.6090,0.6735,1.4901,4.9174
0.6100,0.7097,2.2710,3.8898
0.6110,0.3978,1.1766,3.2499
0.6120,0.3598,4.7724,5.8466
0.6130,0.1181,3.9283,4.7503
0.6140,0.1603,2.9173,3.2387
0.6150,-0.3226,2.2022,2.0884
0.6160,-0.0256,2.0934,2.5258
0.6170,-0.0480,1.6842,1.7767
0.6180,-0.3341,0.9698,3.2759
0.6190,-0.1937,1.3388,2.6977
0.6200,-0.0671,1.1539,2.3840
0.6210,-0.3292,4.0096,1.4823
0.6220,-0.2993,3.5836,1.7569
0.6230,-0.5709,2.5727,0.9155
0.6240,-0.6895,1.4522,4.3676
0.6250,-0.5065,1.5062,3.0629
0.6260,-0.4313,0.9200,2.5708
0.6270,-1.0293,-0.0504,1.9197
0.6280,-0.2918,0.9929,1.6555
0.6290,-0.5414,0.3595,1.4110
0.6300,-0.4381,3.7385,7.4231
0.6310,-0.6244,3.0752,6.7323
0.6320,-0.3499,2.5805,4.8317
0.6330,-0.1456,2.5147,4.1695
0.6340,-0.2248,1.3969,3.6198
0.6350,0.1284,1.7536,3.5692
0.6360,0.6187,1.5228,10.2176
0.6370,0.6669,1.6809,8.4855
0.6380,0.9046,2.0512,7.1693
0.6390,0.6385,4.7230,5.8041
0.6400,0.0444,3.4510,4.1739
0.6410,0.7204,3.4308,3.8825
0.6420,0.3036,2.8729,7.4164
0.6430,0.5490,2.6017,6.4631
0.6440,0.1381,1.9208,4.3383
0.6450,0.2136,1.0732,3.9037
0.6460,0.8249,1.7594,3.8716
0.6470,0.1064,0.5666,2.5351
0.6480,0.1033,4.7151,3.7708
0.6490,0.2151,3.5625,3.3412
0.6500,0.1497,3.7699,2.8553
0.6510,-0.3902,1.6491,1.4380
0.6520,0.4382,3.0096,2.4762
0.6530,0.0912,1.5712,0.8414
0.6540,-0.2496,0.8243,4.0533
0.6550,-0.3185,0.7669,2.3076
0.6560,0.1263,1.2317,2.3293
0.6570,-0.7862,3.4672,1.0673
0.6580,-1.4199,2.3504,0.1689
0.6590,-0.8991,2.2093,0.9522
0.6600,-0.6278,1.8385,5.6949
0.6610,-1.0098,0.9227,3.5883
0.6620,-0.0330,1.5686,3.6361
0.6630,-0.3770,1.1995,3.2132
0.6640,-0.6372,0.2114,1.8133
0.6650,-0.2882,0.8106,2.6247
0.6660,-0.0371,4.4139,8.4600
0.6670,0.3614,4.4616,7.4257
0.6680,0.1159,3.3873,6.2594
0.6690,0.6389,3.5452,4.9567
0.6700,0.5960,2.8123,3.9276
0.6710,0.5527,2.0120,4.3257
0.6720,0.6126,1.9032,9.4123
0.6730,0.4258,1.6430,7.5156
0.6740,0.8306,1.4311,6.6145
0.6750,0.1373,4.6789,4.1308
0.6760,0.6283,4.6512,4.2213
0.6770,0.4588,3.2892,3.0686
0.6780,0.5397,3.0515,5.7496
