udi,air_temp_k,process_temp_k,rot_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf
64,300.46,309.31,1743.4,32.31,25.1,0,0,0,0,0
65,301.36,312.37,1403.7,54.65,214.9,1,0,0,0,1
66,302.07,312.33,1214.1,49.57,236.0,1,0,0,0,1
67,299.94,309.54,1150.0,52.71,174.4,0,0,0,0,0
68,303.88,313.86,1302.6,51.57,109.9,0,0,0,0,0
69,297.99,309.71,1488.7,45.04,139.4,0,0,0,0,0
70,298.52,309.14,1468.3,44.31,36.8,0,0,0,0,0
71,300.37,309.02,1285.2,48.81,165.0,0,0,0,0,0
72,298.53,310.21,1424.0,40.12,122.2,0,0,0,0,0
73,297.23,305.62,1472.2,42.40,184.5,0,0,0,0,0
74,302.96,314.43,1353.4,60.28,187.8,1,0,0,0,1
75,301.92,312.08,1150.0,55.58,116.4,0,0,0,0,0
76,295.72,306.66,1538.1,50.83,173.7,0,0,0,0,0
77,301.99,312.19,1249.8,55.81,179.6,0,0,0,0,0
78,302.38,310.87,1623.1,49.87,240.1,1,0,0,0,1
79,297.91,308.66,1710.0,29.10,113.9,0,0,0,0,0
80,302.59,312.38,1508.9,48.53,14.4,0,0,0,0,0
81,297.06,306.97,1660.9,40.66,180.3,0,0,0,0,0
82,299.01,310.05,1758.5,17.61,239.5,1,1,0,1,0
83,299.67,311.39,1688.6,39.34,136.8,0,0,0,0,0
84,300.97,310.55,1430.7,40.07,211.3,0,0,0,0,0
85,300.78,309.35,1640.4,33.44,158.5,0,0,0,0,0
86,300.44,310.54,1512.6,39.48,144.3,0,0,0,0,0
87,298.29,306.22,1525.1,32.54,216.0,0,0,0,0,0
88,303.08,312.49,1475.7,43.74,132.9,0,0,0,0,0
89,301.33,312.48,1497.0,43.33,193.7,0,0,0,0,0
90,298.92,309.41,1650.8,40.50,201.4,0,0,0,0,0
91,298.86,309.63,1194.6,40.63,236.4,0,0,0,0,0
92,302.81,314.08,1521.5,24.33,53.6,0,0,0,0,0
93,301.28,312.63,1401.6,46.46,197.9,0,0,0,0,0
94,298.19,308.41,1561.8,35.14,201.9,0,0,0,0,0
95,299.22,310.08,1427.7,45.78,183.1,0,0,0,0,0
96,302.06,312.09,1796.9,22.01,66.5,0,0,0,0,0
97,296.05,305.86,1732.5,34.26,174.4,0,0,0,0,0
98,298.27,308.76,1715.7,31.20,122.5,0,0,0,0,0
99,301.44,310.92,1564.0,36.49,211.0,0,0,0,0,0
100,297.55,307.12,1580.9,48.83,16.2,0,0,0,0,0
101,303.21,314.04,1611.7,40.52,200.5,0,0,0,0,0
102,297.77,309.30,1794.1,19.17,231.4,0,0,0,0,0
103,297.23,306.89,1706.1,27.61,105.6,0,0,0,0,0
104,297.34,308.53,1446.7,36.65,42.5,0,0,0,0,0
105,300.08,311.39,1780.1,31.50,169.9,0,0,0,0,0
106,299.18,310.24,1933.4,25.69,180.6,0,0,0,0,0
107,298.46,308.82,1330.9,45.51,110.1,0,0,0,0,0
108,300.22,309.29,1676.1,23.58,76.0,0,0,0,0,0
109,298.39,310.25,1293.1,48.47,54.6,0,0,0,0,0
110,300.51,310.09,1475.5,45.57,155.0,0,0,0,0,0
111,301.30,311.73,1495.5,44.84,13.8,0,0,0,0,0
112,300.72,309.01,1488.3,51.39,212.3,1,1,0,0,0
113,297.84,307.43,1609.0,39.74,101.5,0,0,0,0,0
114,301.80,310.79,1481.8,42.59,74.9,0,0,0,0,0
115,300.32,309.40,1493.0,37.74,103.8,0,0,0,0,0
116,301.67,312.43,1320.1,50.14,160.5,0,0,0,0,0
117,301.95,312.15,1361.4,45.33,234.4,1,1,0,0,0
118,299.22,310.08,1546.6,40.08,7.4,0,0,0,0,0
119,301.57,311.53,1595.1,49.17,138.1,0,0,0,0,0
120,298.58,306.83,1504.9,43.91,202.9,0,0,0,0,0
121,301.17,309.88,1271.5,55.69,185.7,0,0,0,0,0
122,296.76,306.24,1724.4,24.62,7.8,0,0,0,0,0
123,301.36,310.49,1563.9,32.26,1.7,0,0,0,0,0
124,300.05,310.56,1493.4,38.04,12.2,0,0,0,0,0
125,296.64,304.56,1693.7,28.74,28.6,0,0,0,0,0
126,300.67,309.54,1527.2,36.29,61.3,0,0,0,0,0
127,298.94,309.38,1512.1,28.54,170.9,0,0,0,0,0
128,304.24,315.37,1614.1,30.29,113.3,0,0,0,0,0
129,300.40,311.71,1805.9,36.90,148.4,0,0,0,0,0
130,304.61,313.71,1517.4,37.07,210.9,0,0,0,0,0
131,301.46,311.74,1838.7,22.52,242.0,0,0,0,0,0
132,298.27,307.71,1707.4,46.65,188.6,0,0,0,0,0
133,300.61,310.79,1365.3,41.90,92.8,0,0,0,0,0
134,300.49,311.47,1613.4,38.00,190.8,0,0,0,0,0
135,301.73,311.42,1365.1,44.23,129.3,0,0,0,0,0
136,296.88,307.21,1553.0,35.50,74.3,0,0,0,0,0
137,299.50,311.66,1502.2,46.01,92.8,0,0,0,0,0
138,298.84,309.45,1397.3,39.77,134.9,0,0,0,0,0
139,300.47,310.50,1761.1,33.22,242.1,1,1,0,0,0
140,300.40,311.06,1571.6,26.84,153.0,0,0,0,0,0
141,300.66,311.51,1695.4,41.95,163.3,0,0,0,0,0
142,301.35,308.95,1569.5,34.42,182.2,0,0,0,0,0
143,299.65,309.26,1489.7,40.18,104.0,0,0,0,0,0
144,301.56,313.17,1505.6,43.08,180.3,0,0,0,0,0
145,299.23,308.51,1393.9,36.70,118.0,0,0,0,0,0
146,299.18,309.34,1777.1,40.22,189.8,0,0,0,0,0
147,300.69,309.11,1681.8,27.54,243.2,0,0,0,0,0
148,300.39,309.15,1261.5,48.92,46.4,0,0,0,0,0
149,298.03,307.08,1534.4,32.35,113.8,0,0,0,0,0
150,304.46,314.76,1338.4,47.24,168.3,0,0,0,0,0
151,298.06,307.81,1389.5,40.05,162.9,0,0,0,0,0
152,296.96,306.71,1516.9,37.17,238.7,0,0,0,0,0
153,302.27,312.08,1539.9,24.09,84.1,0,0,0,0,0
154,301.06,310.50,1483.1,38.80,120.5,0,0,0,0,0
155,300.79,310.73,1606.2,36.70,194.2,0,0,0,0,0
156,298.74,309.27,1579.6,36.26,9.6,0,0,0,0,0
157,297.20,308.12,1614.8,49.17,212.9,0,0,0,0,0
158,299.56,308.52,1510.4,41.20,14.6,0,0,0,0,0
159,299.91,311.16,1480.1,47.48,119.1,0,0,0,0,0
160,300.02,309.13,1576.1,43.36,0.1,0,0,0,0,0
161,300.19,310.31,1805.6,24.96,209.4,0,0,0,0,0
162,302.48,311.03,1723.7,28.46,201.2,0,0,0,0,0
163,297.80,307.25,1414.3,46.77,111.0,0,0,0,0,0
164,296.18,303.59,1712.5,24.44,47.0,0,0,0,0,0
165,299.24,308.12,1541.9,44.19,1.9,0,0,0,0,0
166,296.67,305.46,1211.8,56.92,22.8,0,0,0,0,0
167,294.53,305.31,1569.9,40.84,201.1,0,0,0,0,0
168,303.05,312.93,1590.8,43.70,165.1,0,0,0,0,0
169,300.36,311.61,1329.3,52.57,123.9,0,0,0,0,0
170,298.75,308.12,1598.0,40.99,73.1,0,0,0,0,0
171,299.22,308.28,1956.4,29.99,162.9,0,0,0,0,0
172,303.49,314.47,1849.2,31.84,48.6,0,0,0,0,0
173,302.26,312.43,1536.4,40.94,51.9,0,0,0,0,0
174,301.80,312.79,1507.0,44.12,187.3,0,0,0,0,0
175,300.66,310.24,1710.8,36.64,42.8,0,0,0,0,0
176,297.87,307.97,1719.0,34.58,78.4,0,0,0,0,0
177,299.75,310.25,1425.1,36.96,196.2,0,0,0,0,0
178,298.11,308.65,1681.6,57.26,179.4,1,0,0,1,0
179,304.06,314.66,1655.8,41.25,13.6,0,0,0,0,0
180,297.91,306.74,1332.1,49.37,174.6,0,0,0,0,0
181,297.39,308.09,1540.7,39.29,140.6,0,0,0,0,0
182,296.73,308.89,1638.1,31.71,164.3,0,0,0,0,0
183,301.60,312.15,1670.7,27.65,128.3,0,0,0,0,0
184,296.66,307.68,1694.0,45.68,233.4,0,0,0,0,0
185,301.22,311.56,1617.2,30.70,64.9,0,0,0,0,0
186,300.57,308.76,1462.8,41.55,151.9,0,0,0,0,0
187,299.59,309.38,1632.8,39.75,12.4,0,0,0,0,0
188,304.99,314.75,1453.7,49.75,148.7,0,0,0,0,0
189,298.91,309.04,1737.3,32.14,70.8,0,0,0,0,0
190,300.99,310.33,1591.5,42.06,181.6,0,0,0,0,0
191,297.53,306.01,1517.4,54.26,65.1,0,0,0,0,0
192,298.40,308.13,1426.9,47.59,139.0,0,0,0,0,0
193,301.51,310.98,1341.0,43.86,160.7,0,0,0,0,0
194,298.46,309.21,1834.7,43.08,20.2,0,0,0,0,0
195,299.93,310.84,1922.1,29.25,9.2,0,0,0,0,0
196,301.38,311.54,1651.8,37.24,5.9,0,0,0,0,0
197,300.16,312.23,1573.8,33.11,165.4,0,0,0,0,0
198,299.17,308.98,1375.0,43.26,75.6,0,0,0,0,0
199,300.11,309.58,1336.6,47.05,2.9,0,0,0,0,0
200,295.77,307.88,1598.8,35.61,161.9,0,0,0,0,0
201,299.44,309.88,1637.3,34.27,189.8,0,0,0,0,0
202,302.13,311.58,1619.5,36.02,209.6,0,0,0,0,0
203,303.50,313.40,1497.4,46.66,187.8,0,0,0,0,0
204,301.39,311.18,1550.0,48.45,27.3,0,0,0,0,0
205,300.31,309.36,1472.3,41.44,133.4,0,0,0,0,0
206,300.34,312.09,1547.7,41.66,98.2,0,0,0,0,0
207,298.47,308.27,1457.8,33.12,232.1,1,1,0,0,0
208,301.92,312.84,1643.0,19.61,82.1,1,0,0,1,0
209,301.81,311.05,1427.2,43.37,99.6,0,0,0,0,0
210,298.92,309.54,1617.2,32.70,175.6,0,0,0,0,0
211,296.90,308.27,1192.3,53.94,180.0,0,0,0,0,0
212,300.87,311.20,1508.8,41.14,145.6,0,0,0,0,0
213,302.52,313.82,1408.5,47.85,110.1,0,0,0,0,0
214,299.10,309.27,1426.0,46.66,30.9,0,0,0,0,0
215,300.53,311.16,1638.4,44.08,147.0,0,0,0,0,0
216,300.83,310.72,1354.4,53.25,101.4,0,0,0,0,0
217,301.98,312.09,1670.9,31.61,64.9,0,0,0,0,0
218,301.03,310.84,1581.1,39.66,227.4,1,1,0,0,0
219,298.14,307.91,1305.8,49.16,135.4,0,0,0,0,0
220,301.69,312.42,1391.8,28.89,214.0,0,0,0,0,0
221,299.40,309.86,1551.1,38.82,23.9,0,0,0,0,0
222,300.06,310.93,1625.1,35.64,198.6,0,0,0,0,0
223,301.78,312.18,1736.2,38.88,224.5,0,0,0,0,0
224,296.32,307.85,1481.4,33.68,220.6,1,1,0,0,0
225,301.73,312.15,1325.8,48.95,235.2,1,0,0,0,1
226,297.85,307.51,1711.9,40.78,230.6,0,0,0,0,0
227,298.84,308.68,1578.2,33.01,33.6,0,0,0,0,0
228,302.42,311.68,1342.8,47.90,40.6,0,0,0,0,0
229,302.40,311.55,1723.9,42.24,198.5,0,0,0,0,0
230,298.36,309.86,1501.8,41.72,215.8,0,0,0,0,0
231,297.94,309.18,1824.7,25.74,61.6,0,0,0,0,0
232,296.95,308.05,1481.7,39.36,153.0,0,0,0,0,0
233,298.29,306.49,1287.4,46.63,51.9,1,0,1,0,0
234,303.21,312.98,1452.2,44.26,158.3,0,0,0,0,0
235,300.37,310.23,1462.2,39.00,109.6,0,0,0,0,0
236,298.01,308.68,1214.0,52.64,199.0,0,0,0,0,0
237,299.74,309.11,1777.9,34.02,174.8,0,0,0,0,0
238,297.33,308.28,1681.2,38.13,60.8,0,0,0,0,0
239,299.82,309.13,1485.2,35.51,151.9,0,0,0,0,0
240,301.40,312.98,1515.9,42.06,176.2,0,0,0,0,0
241,297.18,309.77,1220.4,42.14,120.0,0,0,0,0,0
242,301.74,310.90,1586.8,40.13,222.6,0,0,0,0,0
243,303.17,312.72,1583.3,52.19,35.4,0,0,0,0,0
244,301.86,312.20,1441.3,39.86,70.7,0,0,0,0,0
245,298.90,309.27,1660.0,34.93,11.7,0,0,0,0,0
246,301.88,312.14,1288.8,46.97,216.1,0,0,0,0,0
247,298.05,308.43,1713.8,39.02,182.2,0,0,0,0,0
248,297.89,307.61,1787.4,24.48,221.7,0,0,0,0,0
249,304.33,313.90,1570.3,35.41,172.9,0,0,0,0,0
250,297.47,307.56,1502.4,32.55,206.9,0,0,0,0,0
251,298.39,309.27,1690.1,42.62,99.8,0,0,0,0,0
252,299.49,308.40,1484.7,54.71,38.8,0,0,0,0,0
253,300.18,309.32,1510.2,37.76,172.2,0,0,0,0,0
254,302.64,311.56,1857.1,21.52,200.3,0,0,0,0,0
255,301.59,311.05,1570.9,33.25,229.3,0,0,0,0,0
256,302.72,313.27,1626.2,29.81,63.1,0,0,0,0,0
257,301.54,311.68,1528.5,33.61,236.5,1,1,0,0,0
258,300.59,309.89,1685.7,39.36,125.6,0,0,0,0,0
259,297.22,307.39,1368.8,43.35,162.1,0,0,0,0,0
260,300.29,310.79,1712.3,31.68,164.6,0,0,0,0,0
261,298.54,307.99,1514.5,43.15,78.3,0,0,0,0,0
262,298.56,308.42,1327.9,47.93,184.3,0,0,0,0,0
263,299.43,309.23,1847.2,24.47,241.2,0,0,0,0,0
264,304.18,311.87,1665.4,39.61,206.0,0,0,0,0,0
265,302.01,312.70,1706.5,31.71,144.1,0,0,0,0,0
266,302.06,312.22,1150.0,57.02,217.7,1,0,0,0,1
267,297.84,308.82,1660.9,40.71,152.0,0,0,0,0,0
268,300.00,310.15,1608.7,45.75,53.1,0,0,0,0,0
269,299.56,310.75,1570.1,48.83,15.6,0,0,0,0,0
270,300.59,309.57,1583.9,38.75,206.4,0,0,0,0,0
271,301.67,312.33,1389.0,50.19,42.6,0,0,0,0,0
272,299.72,309.34,1393.9,41.12,130.1,0,0,0,0,0
273,300.24,310.49,1701.7,37.48,106.2,0,0,0,0,0
274,301.33,311.80,1698.2,28.06,112.3,0,0,0,0,0
275,300.82,310.52,1720.7,21.57,136.8,0,0,0,0,0
276,301.62,312.30,1721.9,36.38,11.4,0,0,0,0,0
277,294.53,304.05,1511.4,43.63,15.4,0,0,0,0,0
278,298.03,308.38,1220.7,54.59,136.8,0,0,0,0,0
279,299.69,309.42,1492.3,39.62,140.5,0,0,0,0,0
280,297.97,307.90,1802.6,39.42,118.7,0,0,0,0,0
281,297.83,308.69,1601.0,39.45,238.1,0,0,0,0,0
282,294.86,303.72,1329.5,48.97,14.3,0,0,0,0,0
283,301.32,310.48,1150.0,54.06,134.5,0,0,0,0,0
284,299.33,309.78,1579.5,48.94,170.1,0,0,0,0,0
285,298.14,308.96,1501.8,40.43,5.4,0,0,0,0,0
286,303.43,313.00,1591.4,29.69,79.1,0,0,0,0,0
287,299.06,309.86,1745.6,16.93,122.1,1,0,0,1,0
288,301.72,313.16,1362.0,50.86,116.6,0,0,0,0,0
289,300.46,312.61,1727.0,21.14,68.7,0,0,0,0,0
290,301.24,311.18,1619.3,37.60,50.4,0,0,0,0,0
291,295.89,306.96,1711.8,37.29,131.2,0,0,0,0,0
292,299.67,310.34,1423.5,50.31,173.5,0,0,0,0,0
293,299.11,309.70,1658.1,35.72,112.4,0,0,0,0,0
294,301.37,311.06,1377.7,41.26,52.5,0,0,0,0,0
295,305.57,314.22,1667.5,34.94,183.1,0,0,0,0,0
296,303.05,313.35,1674.3,36.16,187.2,0,0,0,0,0
297,302.58,312.12,1756.2,26.65,202.4,0,0,0,0,0
298,297.04,306.25,1367.6,39.44,207.0,0,0,0,0,0
299,300.43,310.11,1563.8,33.87,162.0,0,0,0,0,0
300,299.52,311.10,1676.1,28.99,4.9,0,0,0,0,0
301,297.16,307.98,1522.4,39.50,194.9,0,0,0,0,0
302,300.64,310.13,1564.5,47.79,70.8,0,0,0,0,0
303,302.01,313.99,1201.8,51.41,177.8,0,0,0,0,0
304,300.66,310.50,1498.3,31.88,125.5,0,0,0,0,0
305,301.84,311.53,1554.7,50.36,90.8,0,0,0,0,0
306,302.70,313.20,1599.2,34.88,226.0,0,0,0,0,0
307,299.24,309.29,1650.5,37.05,205.7,0,0,0,0,0
308,303.91,314.70,1694.5,39.78,72.3,0,0,0,0,0
309,298.28,306.74,1769.1,38.79,157.3,0,0,0,0,0
310,299.56,308.06,1408.3,55.10,7.9,0,0,0,0,0
311,299.90,310.99,1812.2,26.45,240.0,0,0,0,0,0
312,299.12,307.96,1493.2,42.90,242.8,0,0,0,0,0
313,297.00,305.96,1830.6,31.77,180.9,0,0,0,0,0
314,302.12,311.57,1754.1,36.52,73.8,0,0,0,0,0
315,303.71,313.92,1455.1,39.26,105.8,0,0,0,0,0
316,301.00,310.88,1862.9,25.13,66.0,0,0,0,0,0
317,300.23,311.26,1556.5,34.14,222.2,0,0,0,0,0
318,299.26,308.86,1443.1,45.26,35.3,0,0,0,0,0
319,300.92,307.81,1691.4,32.01,128.4,0,0,0,0,0
320,301.17,311.12,1554.0,39.10,117.4,0,0,0,0,0
321,299.64,309.01,1358.2,53.57,132.6,0,0,0,0,0
322,298.79,308.27,1711.2,26.69,82.2,0,0,0,0,0
323,294.89,303.96,1298.1,47.27,227.7,0,0,0,0,0
324,299.94,308.73,1188.5,55.86,103.8,0,0,0,0,0
325,302.81,313.66,1523.1,40.53,216.1,0,0,0,0,0
326,300.12,311.67,1498.7,44.96,82.6,0,0,0,0,0
327,296.92,308.50,1610.9,35.77,49.9,0,0,0,0,0
328,298.36,307.36,1551.1,37.15,59.4,0,0,0,0,0
329,296.80,306.31,1422.7,53.90,118.9,0,0,0,0,0
330,295.86,305.45,1398.7,42.42,72.1,0,0,0,0,0
331,303.02,313.69,1497.5,46.01,36.8,0,0,0,0,0
332,300.35,311.46,1543.8,35.58,147.9,0,0,0,0,0
333,300.93,311.53,1441.8,47.51,130.0,0,0,0,0,0
334,295.59,307.60,1651.8,36.71,7.9,0,0,0,0,0
335,301.09,311.09,1721.7,35.90,15.6,0,0,0,0,0
336,301.40,311.83,1581.4,39.58,10.6,0,0,0,0,0
337,302.51,312.12,1617.1,44.93,10.0,0,0,0,0,0
338,297.90,306.88,1466.4,49.20,26.0,0,0,0,0,0
339,297.44,306.95,1217.0,58.72,79.4,0,0,0,0,0
340,302.55,312.03,1482.1,40.20,181.6,0,0,0,0,0
341,301.29,312.79,1654.0,42.86,7.1,0,0,0,0,0
342,299.40,307.85,1370.1,46.58,61.8,1,0,1,0,0
343,301.51,311.54,1438.0,46.00,38.3,0,0,0,0,0
344,303.52,312.32,1593.8,38.78,76.9,0,0,0,0,0
345,300.61,311.04,1531.6,29.01,141.4,0,0,0,0,0
346,301.06,311.41,1711.9,36.61,102.5,0,0,0,0,0
347,301.88,311.04,1446.7,33.62,72.9,0,0,0,0,0
348,301.49,312.47,1507.3,44.72,203.8,0,0,0,0,0
349,299.72,309.79,1227.0,60.83,45.7,0,0,0,0,0
350,300.17,309.94,1577.8,36.07,88.3,0,0,0,0,0
351,296.23,305.55,1353.0,51.70,103.0,0,0,0,0,0
352,297.37,307.60,1696.3,34.60,36.3,0,0,0,0,0
353,305.20,314.47,1588.9,26.28,74.9,0,0,0,0,0
354,298.77,309.36,1394.5,50.22,101.5,0,0,0,0,0
355,296.57,306.57,1476.4,41.10,30.4,0,0,0,0,0
356,302.70,311.99,1250.1,50.00,0.8,0,0,0,0,0
357,303.60,314.14,1421.6,54.11,239.1,1,0,0,0,1
358,297.37,307.40,1737.5,32.38,50.9,0,0,0,0,0
359,300.07,312.31,1598.4,40.54,15.6,0,0,0,0,0
360,299.56,308.85,1370.7,58.81,149.8,0,0,0,0,0
361,299.38,309.38,1394.4,33.81,60.3,0,0,0,0,0
362,298.32,308.79,1664.2,40.93,20.3,0,0,0,0,0
363,298.34,307.78,1150.0,48.93,15.0,0,0,0,0,0
364,299.01,309.91,1582.4,48.28,95.9,0,0,0,0,0
365,301.11,310.89,1696.1,31.98,18.1,0,0,0,0,0
366,299.62,310.80,1669.9,39.17,111.5,0,0,0,0,0
367,300.46,310.02,1458.0,50.63,104.1,0,0,0,0,0
368,300.31,310.68,1817.4,28.83,62.5,0,0,0,0,0
369,299.61,311.12,1718.8,37.10,129.2,0,0,0,0,0
370,298.70,307.99,1791.1,36.28,45.9,0,0,0,0,0
371,298.28,309.65,1751.0,34.91,73.9,0,0,0,0,0
372,299.25,308.81,1521.4,47.30,111.5,0,0,0,0,0
373,299.97,309.36,1235.4,51.82,142.3,0,0,0,0,0
374,297.13,306.70,1511.8,33.98,69.7,0,0,0,0,0
375,298.43,307.14,1274.8,41.20,28.5,0,0,0,0,0
376,301.96,313.67,1379.5,36.77,96.2,0,0,0,0,0
377,298.37,308.14,1639.0,27.18,41.8,0,0,0,0,0
378,300.24,309.24,1393.3,50.02,12.7,0,0,0,0,0
379,297.15,306.69,1632.0,43.99,63.7,0,0,0,0,0
380,302.52,313.00,1513.5,44.45,93.4,0,0,0,0,0
381,302.70,313.14,1547.2,39.87,91.2,0,0,0,0,0
382,300.51,309.03,1495.2,41.74,21.5,0,0,0,0,0
383,300.25,312.04,1718.3,43.60,93.0,0,0,0,0,0
384,300.93,311.49,1671.6,34.15,222.9,0,0,0,0,0
385,299.73,308.91,1577.6,31.18,108.0,0,0,0,0,0
386,298.58,308.50,1442.1,43.03,124.3,0,0,0,0,0
387,301.73,311.55,1770.1,34.79,200.7,0,0,0,0,0
388,298.55,307.85,1471.0,46.26,3.3,0,0,0,0,0
389,300.83,310.04,1427.1,40.14,108.0,0,0,0,0,0
390,302.55,314.31,1545.6,40.36,236.7,0,0,0,0,0
391,297.61,306.68,1578.5,34.53,9.6,0,0,0,0,0
392,299.71,310.07,1444.6,43.91,136.8,0,0,0,0,0
393,300.03,309.51,1528.7,48.72,5.4,0,0,0,0,0
394,295.69,304.77,1670.5,49.38,122.8,0,0,0,0,0
395,299.01,309.27,1312.1,44.39,83.1,0,0,0,0,0
396,300.14,310.35,1557.3,37.60,240.4,0,0,0,0,0
397,297.42,306.54,1375.5,45.55,172.8,0,0,0,0,0
398,302.00,312.56,1508.9,36.38,235.7,0,0,0,0,0
399,303.34,313.41,1791.8,24.09,239.4,0,0,0,0,0
400,302.96,312.71,1709.2,38.38,170.0,0,0,0,0,0
401,304.17,313.11,1790.6,37.10,184.5,0,0,0,0,0
402,299.42,309.11,1446.1,43.50,95.1,0,0,0,0,0
403,302.38,310.01,1680.0,29.94,55.9,0,0,0,0,0
404,300.68,310.24,1651.9,28.55,188.8,0,0,0,0,0
405,297.53,308.55,1678.7,37.52,115.6,0,0,0,0,0
406,298.11,307.74,1556.6,36.65,99.4,0,0,0,0,0
407,299.20,309.25,1455.2,37.07,239.6,0,0,0,0,0
408,296.44,306.98,1825.8,28.05,10.4,0,0,0,0,0
409,299.95,310.56,1524.2,33.85,170.8,0,0,0,0,0
410,300.06,310.14,1798.8,39.07,188.0,0,0,0,0,0
411,305.78,315.41,1706.7,46.07,85.5,0,0,0,0,0
412,300.61,309.85,1541.7,41.94,135.2,0,0,0,0,0
413,302.77,312.26,1357.2,52.31,107.2,0,0,0,0,0
414,301.12,310.49,1771.3,34.13,229.5,0,0,0,0,0
415,298.63,307.45,1767.7,30.96,216.8,1,1,0,0,0
416,298.06,309.76,1285.5,46.83,141.0,0,0,0,0,0
417,298.85,309.38,1298.6,43.38,109.3,0,0,0,0,0
418,299.33,309.18,1526.9,50.00,112.8,0,0,0,0,0
419,302.33,313.62,1465.0,33.61,236.1,1,1,0,0,0
420,302.50,312.06,1371.6,43.01,176.7,0,0,0,0,0
